Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
Robsteranium                   1.0
meonkeys                       1.0
K0MPLEXWorksTogether           1.0
Aditya Gaurav                  1.0
BooterMan98                    1.0
ahsenzuhal                     1.0
diyar-niyazov                  1.0
lem0nmel0n                     1.0
JordiMartinezPl                1.0
saucoide                       1.0
MyroslavRepin                  1.0
aoqia194                       1.0
Sebiann                        1.0
Th0ught09                      1.0
arpit-source                   1.0
rinas323                       1.0
x69van                         1.0
EmiFree                        1.0
tshofmann                      1.0
MegaManSec                     1.0
StarryCSF                      1.0
aabs82                         1.0
aqeelabpro                     1.0
chai1any                       1.0
anhkhoakz                      1.0
roguehashrate                  1.0
AndreiCherniaev                1.0
Hash-AK                        1.0
lunachocken                    1.0
Kepler2024                     1.0
nilendrasinghsisodiya          1.0
lloyd-dada                     1.0
tango8                         1.0
yesw2000                       1.0
Moe-Salim91156                 1.0
pbek                           1.0
CleyJosRM                      1.0
ishansingh07399-cell           1.0
shaswatcodes28                 1.0
tdeshmukh1                     1.0
sroka36                        1.0
shhac                          1.0
LiDaMing12                     1.0
lipikanadal-cell               1.0
5long                          1.0
patrick204nqh                  1.0
gabriel-francischini           1.0
musicnark                      1.0
mlajkim                        1.0
jhauga                         1.0
mohammadrony                   1.0
hwbehrens                      1.0
gsspdev                        1.0
gvshemanth30034                1.0
BarbosaRT                      1.0
dheenadayalanrs139-hash        1.0
FernDragonborn                 1.0
parth-117                      1.0
miles-spidee                   1.0
harips138-droid                1.0
Ahamed1846                     1.0
manojponnusamy2032-star        1.0
sharaf2215                     1.0
shamblonaut                    1.0
rlunar                         1.0
daliaviki                      1.0
jevinjosh                      1.0
garvitsingh171                 1.0
MohammedTharikS                1.0
godwiniheuwa                   1.0
Dev-GA-Arjun                   1.0
Akshatsahu01                   1.0
GajjelaVasudev                 1.0
tysoncung                      1.0
kishore-144                    1.0
Esakkisundaram2003             1.0
lukasz-c24                     1.0
pete-may                       1.0
mwshook                        1.0
cocoisarobo                    1.0
Sreyasiv                       1.0
ishaa05                        1.0
NeuralNine                     1.0
rudransh-shrivastava           1.0
runningonsideprojects          1.0
LaurianeH-05                   1.0
Vaishnavi5Singh                1.0
k-a-rthik                      1.0
caroldonadel                   1.0
peyton2465                     1.0
DNEGEL3125                     1.0
Primedi                        1.0
alexpasmantier                 1.0
anishk85                       1.0
defnvary                       1.0
WhiteHades                     1.0
frxdude                        1.0
GV14982                        1.0
