Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
pxgamer                                  0       74      0.0
vitalmotif                               0       20      0.0
Cool Guy                                 0       28      0.0
Anish Kumar                              0       38      0.0
a1346054                                 0       17      0.0
Alexandros Tzimas                        0       58      0.0
Emily                                    0       15      0.0
Keziah Prado                             0       39      0.0
Paul Vatterott                           0       11      0.0
TeaLeavesJumping                         0       11      0.0
dorocha                                  0       15      0.0
Abhishek                                 0       30      0.0
Julian Ste                               0       32      0.0
Hugo Locurcio                            0       15      0.0
dwdh                                     0       13      0.0
Elijah Shackelford                       0       19      0.0
PARTH PRATYUSH                           0        5      0.0
Ratheshan Sathiyamoorthy                 0       19      0.0
nilendrasinghsisodiya                    0       11      0.0
Roberto Luna-Rojas                       0       17      0.0
Anay Nayak                               0       15      0.0
Barry Weiss                              0       20      0.0
Brian Choromanski                        0       17      0.0
oleksii-kulyk                            0       15      0.0
Lambert Rao                              0        9      0.0
Lakshyajeet Singh Goyal                  0       59      0.0
Vansh Pandey                             0       13      0.0
Kefaku                                   0       17      0.0
Farzad Zarasvand                         0       19      0.0
Myzel394                                 0        9      0.0
Waled Khatiz                             0       19      0.0
Md. Asaduzzaman Rony                     0       32      0.0
Tyler Lutz                               0        9      0.0
Quentin Klein                            0        7      0.0
oakrotka                                 0       19      0.0
LunaChocken                              0       11      0.0
Joshua Shanks                            0       29      0.0
Ethan Kinnear                            0        4      0.0
Abhisek Phago limbu                      0       15      0.0
fankex                                   0       48      0.0
Jeet Jawale                              0       40      0.0
z7y8hsBP                                 0       11      0.0
Michael Cale                             0       13      0.0
Abhay Mittal                             0       11      0.0
Nethum Lamahewage                        0       13      0.0
subhash-iiitm                            0        7      0.0
Laaarge                                  0       13      0.0
roguehashrate                            0       19      0.0
Tom Nicklin                              0       17      0.0
CanonNi                                  0        9      0.0
Coko                                     0       15      0.0
Ethan J                                  0       52      0.0
Shou-Chi Chen                            0       13      0.0
Kishore B                                0      130      0.0
Muralikrishnan                           0        9      0.0
Nemo D'ACREMONT                          0       42      0.0
mbsmith                                  0       15      0.0
Rafal Sasinski                           0       37      0.0
Coba                                     0       45      0.0
diver                                    0        9      0.0
Ali Malek                                0       17      0.0
NEXNC                                    0       15      0.0
CreeperFace                              0       19      0.0
Willard Washington Ford                  0       19      0.0
Isaac-Carrascal                          0        8      0.0
Furkan                                   0       11      0.0
Patrizio Bekerle                         0       28      0.0
Francesco Lucarelli                      0       19      0.0
SeWook Oh                                0       19      0.0
qubixq                                   0       20      0.0
Christopher Finch                        0       20      0.0
Ulysse Buonomo                           0       15      0.0
vatsal chaudhari                         0       19      0.0
Chaitanya Mishra                         0       17      0.0
Pradeep Tarakar                          0       28      0.0
CalC                                     0       13      0.0
mCaballero1224                           0       47      0.0
Austin                                   0        9      0.0
Abhishek M J                             0       19      0.0
marcel                                   0       11      0.0
23f3001101                               0       15      0.0
patrick                                  0       19      0.0
Lauren Szlosek                           0       11      0.0
Modi Meet                                0       17      0.0
Shuwei Ye                                0       32      0.0
Jonas Weich                              0       16      0.0
Rover van der Noort                      0       20      0.0
Abdulsalaam Noibi                        0       10      0.0
Shantanu Pai                             0       46      0.0
aoqia194                                 0       19      0.0
Máté Gyöngyösi                           0       15      0.0
whitemuu                                 0       13      0.0
Adam Bisinella                           0       12      0.0
Hans Behrens                             0       17      0.0
Graham                                   0        9      0.0
Franz                                    0        5      0.0
Pranav Mangal                            0       28      0.0
Martin Hübner                            0        4      0.0
Supakorn Ieamgomol                       0       16      0.0
Krzysztof Bociurko                       0       18      0.0
Pranaov S                                0       19      0.0
Adel Hasic                               0       13      0.0
Fern Dragonborn                          0        9      0.0
the0xdev                                 0       13      0.0
Keith                                    0        4      0.0
William Chua                             0       15      0.0
Primedi                                  0        7      0.0
IACS CSU 2020                            0        4      0.0
Daniel Berlin                            0       11      0.0
Simon St-Pierre                          0       15      0.0
Aidan Coyle                              0       26      0.0
P2Tree                                   0       12      0.0
Girdhar Agrawal                          0       13      0.0
Tristan Jahnke                           0       11      0.0
Radhesh Pai                              0       17      0.0
Aswin girish                             0       15      0.0
Uriel Acosta                             0       13      0.0
Dany Marcoux                             0       11      0.0
Sophia Behling                           0       11      0.0
Alan                                     0       14      0.0
Ofer Sadan                               0       13      0.0
Kieran                                   0        4      0.0
LIPIKA KANKARIA                          0       26      0.0
Emanuele Rocca                           0       36      0.0
Randy Sugianto (Yuku)                    0        5      0.0
Kunal Singh                              0       13      0.0
arpit-source                             0       14      0.0
Felipe Pena                              0       11      0.0
Tim McMackin                             0       17      0.0
Michał Gąsior                            0        9      0.0
Gabriel Francischini C. Pereira          0       17      0.0
ARK                                      0       13      0.0
Paul Somers                              0       15      0.0
Sarah Haïm-Lubczanski                    0       25      0.0
Alwin Lohrie                             0        7      0.0
Jacobus Burger                           0       14      0.0
Gajjela Vasudev                          0       44      0.0
Rail                                     0        9      0.0
Florian B                                0        9      0.0
Siriusmart                               0        8      0.0
Th0ught09                                0       14      0.0
satteomama                               0       13      0.0
Christoph Thiede                         0       15      0.0
endorama                                 0       11      0.0
Mosapeizer                               0       15      0.0
Paul Garaud                              0       19      0.0
Bruno Schaatsbergen                      0       13      0.0
Harry Wu                                 0       18      0.0
Abhishek Kaith                           0       38      0.0
Zach                                     0       19      0.0
lsomm                                    0        9      0.0
ElnurBDa                                 0        5      0.0
Ivan Grubišić                            0       17      0.0
zhuhong_bo                               0       65      0.0
licon                                    0       16      0.0
Suggon                                   0       21      0.0
Isidro                                   0       15      0.0
Pranav Lawate                            0      203      0.0
tellmeY18                                0       12      0.0
Lee Katz                                 0        8      0.0
Arvind Selva Jas J S                     0        8      0.0
Ashwath                                  0       52      0.0
Danche Choi                              0       13      0.0
mihailstoynov                            0        9      0.0
Vaishnavi5Singh                          0       37      0.0
krotka                                   0       17      0.0
vatana7                                  0       11      0.0
Naman Soni                               0       84      0.0
koolape                                  0       15      0.0
Diyar Niyazov                            0       20      0.0
xuzhangheng                              0       32      0.0
zhb4                                     0       41      0.0
Aqeel Abbas                              0       36      0.0
maybeetree                               0       11      0.0
DEBADRIBASAK                             0       33      0.0
rexept                                   0       13      0.0
Krystian                                 0       64      0.0
Dyo-nisos                                0       12      0.0
dinaisrael                               0       35      0.0
bradleyJT-CS                             0       45      0.0
Shubham Kshetre                          0       16      0.0
You Gao                                  0       12      0.0
sharaf2215                               0       16      0.0
Harrison                                 0       90      0.0
Phil Clifford                            0       18      0.0
u0_a390                                  0       13      0.0
Ishaan Bhimwal                           0       17      0.0
rajat mohan                              0       13      0.0
Vitor Appolinario                        0       11      0.0
th0ughtcrime                             0       17      0.0
Vangeepuram Sreekesari                   0       19      0.0
Jakub Wlodek                             0       24      0.0
Florian Wilhelm                          0       19      0.0
Alistair Young                           0       12      0.0
Suresh Jagtap                            0       15      0.0
Renner0E                                 0       21      0.0
MIfoodie                                 0       15      0.0
Varad Rane                               0        4      0.0
shellheim                                0       11      0.0
Angad Singh Grover                       0       15      0.0
Caughlin Bohn                            0        7      0.0
Farzad Hayat                             0        5      0.0
Narfinger                                0        4      0.0
MohammedTharikS                          0       16      0.0
Krish Rakesh Dave                        0       21      0.0
Callum Rafter                            0       18      0.0
Matthew Piercey                          0       11      0.0
Alpha                                    0       12      0.0
CodeTo                                   0       20      0.0
lloyd-dada                               0       24      0.0
Aadish M                                 0       13      0.0
renner0e                                 0       13      0.0
Tsvetomir Bonev                          0       15      0.0
rafikhouzam                              0       16      0.0
FL                                       0       11      0.0
Coontzy1                                 0       12      0.0
Ecko                                     0       20      0.0
DustMerlin                               0       21      0.0
x69van                                   0       17      0.0
Abdul Rafay                              0        7      0.0
Suyash Bhawsar                           0       11      0.0
Methran Gunasekaran                      0       34      0.0
funwaa                                   0        7      0.0
Ewen Le Bihan                            0        9      0.0
Nissaar                                  0        4      0.0
plastik-flasche                          0       11      0.0
Dainis                                   0        9      0.0
Toxikuu                                  0       18      0.0
ohyahgit                                 0       14      0.0
